url,label
http://45.142.214.12:8888/login/office365/auth.php?session_token=0x0038&victim_id=1056&redirect=http://stealer.ru,1
http://www.paypal.com.account.login.update.user.information.secureserver.xyz/webscr/auth_step_65.php?csrf=tok_0041&email=victim65@targetcorp.com&ref=login,1
https://www.redhat.com/en/technologies/linux-platforms/enterprise-linux/page/37?category=general&item_id=5037,0
https://www.python.org/downloads/release/python-3120//page/9?category=general&item_id=5009,0
http://192.168.1.105:8080/secure/banking/chase/login.htm?session_token=0x0012&victim_id=1018&redirect=http://stealer.ru,1
http://104.244.78.21/cgi-bin/webscr?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8?session_token=0x0006&victim_id=1006&redirect=http://stealer.ru,1
http://usps-address-confirmation-redelivery.usps-info-post.rest/verify/step13?user=victim_13&pass_reset=true&hash=f8a7c13e9b,1
https://aws.amazon.com/ec2/instance-types//documentation/guide/v44.0?region=us-east-1&page=44,0
http://cutt.ly/chase-urgent-security-warning-login-action/step33?user=victim_33&pass_reset=true&hash=f8a7c33e9b,1
http://irs-tax-refund-claim-portal.gov-refund-status.click/claim.php/step50?user=victim_50&pass_reset=true&hash=f8a7c50e9b,1
https://netflix.com/browse/genre/839338/page/6?category=general&item_id=5006,0
https://www.bestbuy.com/site/computers-pcs/laptop-computers/abcat0502000.c/page/43?category=general&item_id=5043,0
https://zoom.us/pricing/page/39?category=general&item_id=5039,0
https://www.postgresql.org/docs/current/tutorial-sql.html/page/9?category=general&item_id=5009,0
http://bankofamerica.com-identity-management.cf/login/sign-in.action/auth_step_12.php?csrf=tok_000c&email=victim12@targetcorp.com&ref=login,1
http://binance.com-login-verification-kyc.gq/login?ref=827391/step6?user=victim_6&pass_reset=true&hash=f8a7c06e9b,1
https://www.fidelity.com/trading/overview/services/account-overview?user_id=usr_134&session_valid=true,0
http://fedex-express-delivery-redirection.parcel-confirm.top/login.aspx/auth_step_20.php?csrf=tok_0014&email=victim20@targetcorp.com&ref=login,1
https://csrc.nist.gov/publications/detail/sp/800-53/rev-5/final/page/43?category=general&item_id=5043,0
